shipment_id,customer_id,warehouse_id,shipment_date,expected_delivery_date,region,shipment_status,shipment_cost
SH101,C001,W01,2025-12-01,2025-12-05,West,IN_TRANSIT,500
SH102,C002,W01,2025-12-01,2025-12-06,West,DELIVERED,700
SH103,C003,W02,2025-12-02,2025-12-07,North,IN_TRANSIT,600
SH104,C004,W02,2025-12-02,2025-12-06,North,PENDING,450
SH105,C005,W03,2025-12-03,2025-12-08,South,DELIVERED,900
SH106,C001,W03,2025-12-03,2025-12-09,South,IN_TRANSIT,800
SH107,C002,W01,2025-12-04,2025-12-08,West,DELIVERED,650
SH108,C003,W02,2025-12-04,2025-12-10,North,PENDING,550
SH109,C004,W03,2025-12-05,2025-12-09,South,DELIVERED,950
SH110,C005,W01,2025-12-05,2025-12-11,West,IN_TRANSIT,750
SH111,C001,W02,2025-12-06,2025-12-10,North,DELIVERED,680
SH112,C002,W03,2025-12-06,2025-12-12,South,PENDING,520
SH113,C003,W01,2025-12-07,2025-12-11,West,IN_TRANSIT,610
SH114,C004,W02,2025-12-07,2025-12-13,North,DELIVERED,830
SH115,C005,W03,2025-12-08,2025-12-14,South,IN_TRANSIT,780
SH116,C001,W01,2025-12-08,2025-12-12,West,DELIVERED,690
SH117,C002,W02,2025-12-09,2025-12-15,North,PENDING,570
SH118,C003,W03,2025-12-09,2025-12-13,South,DELIVERED,920
SH119,C004,W01,2025-12-10,2025-12-16,West,IN_TRANSIT,720
SH120,C005,W02,2025-12-10,2025-12-15,North,DELIVERED,850
SH121,C999,W01,2025-12-11,2025-12-16,West,DELIVERED,700
SH122,C001,W02,2025-12-11,2025-12-17,North,UNKNOWN,650
SH123,C002,W03,2025-12-12,2025-12-18,South,IN_TRANSIT,-200
SH124,C003,W01,2025-12-12,2025-12-16,West,PENDING,600
SH125,C004,W02,2025-12-12,2025-12-18,North,DELIVERED,880