claim_id,customer_id,policy_id,claim_date,claim_amount,claim_type,branch
CL101,C001,P001,2026-01-01,25000,MEDICAL,Mumbai
CL102,C002,P002,2026-01-01,40000,VEHICLE,Pune
CL103,C003,P003,2026-01-02,15000,HOME,Delhi
CL104,C004,P004,2026-01-02,60000,MEDICAL,Bangalore
CL105,C005,P005,2026-01-03,35000,VEHICLE,Nagpur
CL106,C001,P001,2026-01-03,45000,MEDICAL,Mumbai
CL107,C002,P002,2026-01-04,20000,VEHICLE,Pune
CL108,C003,P003,2026-01-04,30000,HOME,Delhi
CL109,C004,P004,2026-01-05,75000,MEDICAL,Bangalore
CL110,C005,P005,2026-01-05,25000,VEHICLE,Nagpur
CL111,C001,P001,2026-01-06,50000,MEDICAL,Mumbai
CL112,C002,P002,2026-01-06,18000,VEHICLE,Pune
CL113,C003,P003,2026-01-07,22000,HOME,Delhi
CL114,C004,P004,2026-01-07,90000,MEDICAL,Bangalore
CL115,C005,P005,2026-01-08,27000,VEHICLE,Nagpur
CL116,C001,P001,2026-01-08,55000,MEDICAL,Mumbai
CL117,C002,P002,2026-01-09,21000,VEHICLE,Pune
CL118,C003,P003,2026-01-09,31000,HOME,Delhi
CL119,C004,P004,2026-01-10,95000,MEDICAL,Bangalore
CL120,C005,P005,2026-01-10,28000,VEHICLE,Nagpur
CL121,C999,P001,2026-01-11,30000,MEDICAL,Mumbai
CL122,C001,P999,2026-01-11,45000,MEDICAL,Mumbai
CL123,C002,P002,2026-01-12,-5000,VEHICLE,Pune
CL124,C003,P003,2026-01-12,35000,TRAVEL,Delhi
CL125,C004,P004,2026-01-12,100000,MEDICAL,Bangalore